o0902700	ZATU752	ZATU752~v1
o0902707	ZATU756	ZATU756~v1
o0902709	ZATU757	ZATU757~v1
o0902712	ZATU759	ZATU759~v1
o0902723	ZATU762~a	ZATU762~a~v1
o0902724	ZATU762~a	ZATU762~a~v2
o0902740	ZATU773~a	ZATU773~a~v1
o0902745	ZATU776	ZATU776~v1
o0902747	ZATU777	ZATU777~v1
o0902748	ZATU777	ZATU777~v2
o0902807	ZATU839	ZATU839~v1
o0902830	ZI~a	ZI~a~v1
o0902867	9(N01)	9(N01)~v1
o0902935	5(N14)	5(N14)~v1
o0902937	6(N14)	6(N14)~v1
o0902971	9(N18)	9(N18)~v1
o0902981	9(N19)	9(N19)~v1
o0903024	1(N26)	1(N26)~v1
o0903027	1(N27)	1(N27)~v1
o0903033	1(N29~a)	1(N29~a)~v1
o0903045	1(N30~a)	1(N30~a)~v1
o0903221	|1(N57).SZUBUR|	|1(N57).ŠUBUR~v1|
o0903269	6(N57)	6(N57)~v1
o0903282	|1(N58).BAD~b|	|1(N58)~a.BAD~a|
