77	ignore				2472	125D0	𒗐	1(N48)	1(N48)		o0903161	ONE-N48	PROTO-CUNEIFORM NUMBER ONE-N48	Nl;0;L;;;;1;N
78	ignore				2473	125D1	𒗑	1(N48@f)	1(N48@f)		o0903168	ONE-N48 FLAT	PROTO-CUNEIFORM NUMBER ONE-N48 FLAT	Nl;0;L;;;;1;N
79	ignore				2480	125D2	𒗒	1(N49)	1(N49)		o0903169	ONE-N49	PROTO-CUNEIFORM NUMBER ONE-N49	Nl;0;L;;;;1;N
80	ignore				2485	125D3	𒗓	1(N50)	1(N50)		o0903174	ONE-N50	PROTO-CUNEIFORM NUMBER ONE-N50	Nl;0;L;;;;1;N
81	ignore				2490	125D4	𒗔	1(N51)	1(N51)		o0903188	ONE-N51	PROTO-CUNEIFORM NUMBER ONE-N51	Nl;0;L;;;;1;N
82	ignore				2491	125D5	𒗕	1(N51@f)	1(N51@f)		o0903179	ONE-N51 FLAT	PROTO-CUNEIFORM NUMBER ONE-N51 FLAT	Nl;0;L;;;;1;N
83	ignore				2507	125D6	𒗖	1(N52)	1(N52)		o0903196	ONE-N52	PROTO-CUNEIFORM NUMBER ONE-N52	Nl;0;L;;;;1;N
84	ignore				2513	125D7	𒗗	1(N54)	1(N54)		o0903202	ONE-N54	PROTO-CUNEIFORM NUMBER ONE-N54	Nl;0;L;;;;1;N
85	ignore				2518	125D8	𒗘	1(N55)	1(N55)		o0903207	ONE-N55	PROTO-CUNEIFORM NUMBER ONE-N55	Nl;0;L;;;;1;N
86	ignore				2519	125D9	𒗙	1(N56)	1(N56)		o0903208	ONE-N56	PROTO-CUNEIFORM NUMBER ONE-N56	Nl;0;L;;;;1;N
87	ignore				2521	125DA	𒗚	1(N57)	1(N57)		o0903210	ONE-N57	PROTO-CUNEIFORM NUMBER ONE-N57	Nl;0;L;;;;1;N
88	ignore				2596	125DB	𒗛	1(N58)	1(N58)		o0903280	ONE-N58	PROTO-CUNEIFORM NUMBER ONE-N58	Nl;0;L;;;;1;N
89	ignore				2603	125DC	𒗜	|1(N58@t)|	1(N58@t)		o0903294	ONE-N58 TENU	PROTO-CUNEIFORM NUMBER ONE-N58 TENU	Nl;0;L;;;;1;N
90	ignore				2620	125DD	𒗝	1(N60)	1(N60)		o0903301	ONE-N60	PROTO-CUNEIFORM NUMBER ONE-N60	Nl;0;L;;;;1;N
91	ignore				2623	125DE	𒗞	1(N63)	1(N63)		o0903304	ONE-N63	PROTO-CUNEIFORM NUMBER ONE-N63	Nl;0;L;;;;1;N
92	ignore				2158	125DF	𒗟	2(N01)	2(N01)		o0902859	TWO-N1	PROTO-CUNEIFORM NUMBER TWO-N1	Nl;0;L;;;;2;N
93	ignore				2159	125E0	𒗠	2(N01@f)	2(N01@f)		o0902849	TWO-N1 FLAT	PROTO-CUNEIFORM NUMBER TWO-N1 FLAT	Nl;0;L;;;;2;N
94	ignore				2179	125E1	𒗡	2(N02)	2(N02)		o0902871	TWO-N2	PROTO-CUNEIFORM NUMBER TWO-N2	Nl;0;L;;;;2;N
95	ignore				2188	125E2	𒗢	2(N03)	2(N03)		o0902880	TWO-N3	PROTO-CUNEIFORM NUMBER TWO-N3	Nl;0;L;;;;2;N
96	ignore				2195	125E3	𒗣	2(N04)	2(N04)		o0902885	TWO-N4	PROTO-CUNEIFORM NUMBER TWO-N4	Nl;0;L;;;;2;N
97	ignore				2196	125E4	𒗤	2(N04@f)	2(N04@f)		o0902890	TWO-N4 FLAT	PROTO-CUNEIFORM NUMBER TWO-N4 FLAT	Nl;0;L;;;;2;N
98	ignore				2204	125E5	𒗥	2(N05)	2(N05)		o0902895	TWO-N5	PROTO-CUNEIFORM NUMBER TWO-N5	Nl;0;L;;;;2;N
99	ignore				2213	125E6	𒗦	2(N07~a)	2(N07~a)		o0902904	TWO-N7-A	PROTO-CUNEIFORM NUMBER TWO-N7-A	Nl;0;L;;;;2;N
100	ignore				2214	125E7	𒗧	2(N07~b)	2(N07~b)		o0902905	TWO-N7-B	PROTO-CUNEIFORM NUMBER TWO-N7-B	Nl;0;L;;;;2;N
101	ignore				2223	125E8	𒗨	2(N08)	2(N08)		o0902912	TWO-N8	PROTO-CUNEIFORM NUMBER TWO-N8	Nl;0;L;;;;2;N
102	ignore				2224	125E9	𒗩	2(N08~b)	2(N08~b)		o0902913	TWO-N8-B	PROTO-CUNEIFORM NUMBER TWO-N8-B	Nl;0;L;;;;2;N
103	ignore				2242	125EA	𒗪	2(N14)	2(N14)		o0902930	TWO-N14	PROTO-CUNEIFORM NUMBER TWO-N14	Nl;0;L;;;;2;N
104	ignore				2243	125EB	𒗫	2(N14@f)	2(N14@f)		o0902946	TWO-N14 FLAT	PROTO-CUNEIFORM NUMBER TWO-N14 FLAT	Nl;0;L;;;;2;N
105	ignore				2267	125EC	𒗬	2(N15)	2(N15)		o0902956	TWO-N15	PROTO-CUNEIFORM NUMBER TWO-N15	Nl;0;L;;;;2;N
106	ignore				2274	125ED	𒗭	2(N18)	2(N18)		o0902963	TWO-N18	PROTO-CUNEIFORM NUMBER TWO-N18	Nl;0;L;;;;2;N
107	ignore				2285	125EE	𒗮	2(N19)	2(N19)		o0902973	TWO-N19	PROTO-CUNEIFORM NUMBER TWO-N19	Nl;0;L;;;;2;N
108	ignore				2286	125EF	𒗯	2(N19@f)	2(N19@f)		o0902983	TWO-N19 FLAT	PROTO-CUNEIFORM NUMBER TWO-N19 FLAT	Nl;0;L;;;;2;N
109	ignore				2303	125F0	𒗰	2(N20)	2(N20)		o0902992	TWO-N20	PROTO-CUNEIFORM NUMBER TWO-N20	Nl;0;L;;;;2;N
