o0900277	c	|DIN×1(N58)|	|DIN+1(N57)|	1	769
o0900278	s	DIN@t	DIN@t	1	770
o0900279	s	DU	DU	321	772
o0900281	c	|DU×1(N58@t)|	|DU×DIŠ|	3	775
o0900282	s	DU@g	DU@g	1	776
o0900284	s	DU₆~a	DU₆~a	14	780
o0900287	s	DU₆~b	DU₆~b	28	787
o0900288	s	DU₆~c	DU₆~c	1	788
o0900290	c	|DU₆~a~v1×1(N58)|	|DU₆~a×DIŠ|	1	784
o0900291	s	DU₇	DU₇	4	789
o0900293	s	DU₈~a	DU₈~a	1	796
o0900294	s	DU₈~b	DU₈~b	2	797
o0900296	s	DU₈~c	DU₈~c	35	799
o0900299	c	|DU₈~c×AB₂|	|DU₈~c×AB₂|	1	800
o0900301	c	|DU₈~c×AMAR|	|DU₈~c×AMAR|	8	801
o0900303	c	|DU₈~c×HI|	|DU₈~c×HI|	1	802
o0900305	c	|DU₈~c×UDU~a|	|DU₈~c×UDU~a|	4	803
o0900309	s	DU₈~c@g	DU₈~c@g	16	805
o0900312	s	DUB~a	DUB~a	110	815
o0900313	s	DUB~b	DUB~b	57	816
o0900318	s	DUB~c	DUB~c	1	822
o0900319	s	DUB~d	DUB~d	3	823
o0900320	s	DUB~e	DUB~e	1	824
o0900321	s	DUB~f	DUB~f	4	825
o0900322	s	DUB~h	DUB~h	1	826
o0900324	c	|(DUB@n~a×1(N58))~a|	|(DUB×DIŠ)~a|	5	832
o0900325	c	|DUB@n~b×1(N58)~a|	|(DUB×DIŠ)~b|	1	835
o0900326	c	|(DUB@n~a×1(N58))~b|	|(DUB×DIŠ)~c|	1	833
o0900329	s	DUB₂	DUB₂	2	837
o0900331	s	DUG~a	DUG~a	213	898
o0900334	s	DUG~b	DUG~b	91	909
o0900336	s	DUG~c~v1	DUG~c	173	1030
o0900338	s	DUG~d	DUG~d	4	1039
o0900340	c	|DUG~b~v1×AB₂|	|DUG~b×AB₂|	2	1010
o0900342	c	|DUG~b×ANŠE~b|	|DUG~b×ANŠE~b|	5	940
o0900343	c	|DUG~b×ANŠE~d|	|DUG~b×ANŠE~d|	2	941
o0900347	c	|DUG~b×BALA~a|	|DUG~b×BALA~a|	10	943
o0900349	c	|DUG~b×BIR₃~c|	|DUG~b×BIR₃~c|	1	944
o0900351	c	|DUG~b×DIN|	|DUG~b×DIN|	13	945
o0900354	c	|(DUG~b×DIN)@r|	|DUG~b@r×DIN|	1	946
o0900358	c	|DUG~b×GA~a~v4|	|DUG~b×GA~a|	1	950
o0900359	c	|DUG~b×GA~b|	|DUG~b×GA~b|	2	951
o0900361	c	|DUG~b×GEŠTU~a~v2|	|DUG~b×GEŠTU~a|	5	954
o0900363	c	|DUG~b×GEŠTU~b|	|DUG~b×GEŠTU~b|	1	955
o0900365	c	|DUG~b×GI₆|	|DUG~b×GI₆|	3	956
o0900367	c	|DUG~b×GIŠ|	|DUG~b×GIŠ|	6	957
o0900370	c	|DUG~b×HI|	|DUG~b×HI|	9	958
o0900373	c	|DUG~b~v1×HI@g~a|	|DUG~b×HI@g~a|	7	1014
o0900376	c	|DUG~b×KASKAL|	|DUG~b×KASKAL|	10	961
o0900378	c	|DUG~a×KU₆~a|	|DUG~a×KU₆~a|	1	900
o0900379	c	|DUG~b×KU₆~a|	|DUG~b×KU₆~a|	2	962
o0900381	c	|DUG~b×KUR~a|	|DUG~b×KUR~a|	3	963
o0900382	c	|DUG~b×KUR~b|	|DUG~b×KUR~b|	1	965
o0900384	c	|DUG~b×(KUR~a.X)|	|DUG~b×(KUR~a.X)|	1	964
o0900386	c	|DUG~b×KUR@g~a|	|DUG~b×KUR@g~a|	4	966
o0900389	c	|DUG~b×LAM~a|	|DUG~b×LAM~a|	3	967
o0900391	c	|DUG~b×MAŠ|	|DUG~b×MAŠ|	13	968
o0900394	c	|DUG~a×1(N57)|	|DUG~a×1(N57)|	8	905
o0900395	c	|DUG~b×1(N57)|	|DUG~b×1(N57)|	8	1004
o0900398	c	|DUG~c~v2×1(N57)|	|DUG~c×1(N57)|	57	1033
o0900401	c	|DUG~b×(1(N57).KU₃~a)|	|DUG~b×(1(N57).KU₃~a)|	3	1005
o0900405	c	|DUG~b~v1×1(N58)|	|DUG~c×1(N58)|	1	1021
o0900407	c	|DUG~a×NAGA~a|	|DUG~a×NAGA~a|	1	902
o0900408	c	|DUG~b×NAGA~a|	|DUG~b×NAGA~a|	6	970
o0900410	c	|DUG~b×NAM₂|	|DUG~b×NAM₂|	1	971
o0900414	c	|DUG~b×SA~a|	|DUG~b×SA~a|	5	973
o0900416	c	|DUG~b×(SA~a.GI)|	|DUG~b×(SA~a.GI)|	4	974
o0900418	c	|DUG~b×SI₄~a|	|DUG~b×SI₄~a|	6	975
o0900420	c	|DUG~b×(SI₄~a.X)|	|DUG~b×(SI₄~a.X)|	1	976
o0900422	c	|DUG~b×SIG₂~a1|	|DUG~b×SIG₂~a1|	3	977
o0900423	c	|DUG~b×SIG₂~a2|	|DUG~b×SIG₂~a2|	2	978
o0900425	c	|DUG~b×SIG₇|	|DUG~b×SIG₇|	19	979
o0900427	c	|DUG~b×SUHUR|	|DUG~b×SUHUR|	1	980
o0900431	c	|DUG~b×ŠAH₂~a|	|DUG~b×ŠAH₂~a|	4	982
o0900433	c	|DUG~b×ŠE~a|	|DUG~b×ŠE~a|	18	983
o0900437	c	|DUG~b×(ŠE~a.NAM₂)|	|DUG~b×(ŠE~a.NAM₂)|	7	986
o0900439	c	|DUG~b×TAK₄~a|	|DUG~b×TAK₄~a|	4	987
