o0900325	c	|DUB@n~b×1(N58)~a|	|(DUB×DIŠ)~b|	1
o0900326	c	|(DUB@n~a×1(N58))~b|	|(DUB×DIŠ)~c|	1
o0900329	s	DUB₂	DUB₂	2
o0900331	s	DUG~a	DUG~a	213
o0900334	s	DUG~b	DUG~b	91
o0900336	s	DUG~c~v1	DUG~c	173
o0900338	s	DUG~d	DUG~d	4
o0900340	c	|DUG~b~v1×AB₂|	|DUG~b×AB₂|	2
o0900342	c	|DUG~b×ANŠE~b|	|DUG~b×ANŠE~b|	5
o0900343	c	|DUG~b×ANŠE~d|	|DUG~b×ANŠE~d|	2
o0900347	c	|DUG~b×BALA~a|	|DUG~b×BALA~a|	10
o0900349	c	|DUG~b×BIR₃~c|	|DUG~b×BIR₃~c|	1
o0900351	c	|DUG~b×DIN|	|DUG~b×DIN|	13
o0900354	c	|(DUG~b×DIN)@r|	|DUG~b@r×DIN|	1
o0900358	c	|DUG~b×GA~a~v4|	|DUG~b×GA~a|	1
o0900359	c	|DUG~b×GA~b|	|DUG~b×GA~b|	2
o0900361	c	|DUG~b×GEŠTU~a~v2|	|DUG~b×GEŠTU~a|	5
o0900363	c	|DUG~b×GEŠTU~b|	|DUG~b×GEŠTU~b|	1
o0900365	c	|DUG~b×GI₆|	|DUG~b×GI₆|	3
o0900367	c	|DUG~b×GIŠ|	|DUG~b×GIŠ|	6
o0900370	c	|DUG~b×HI|	|DUG~b×HI|	9
o0900373	c	|DUG~b~v1×HI@g~a|	|DUG~b×HI@g~a|	7
o0900376	c	|DUG~b×KASKAL|	|DUG~b×KASKAL|	10
o0900378	c	|DUG~a×KU₆~a|	|DUG~a×KU₆~a|	1
o0900379	c	|DUG~b×KU₆~a|	|DUG~b×KU₆~a|	2
o0900381	c	|DUG~b×KUR~a|	|DUG~b×KUR~a|	3
o0900382	c	|DUG~b×KUR~b|	|DUG~b×KUR~b|	1
o0900384	c	|DUG~b×(KUR~a.X)|	|DUG~b×(KUR~a.X)|	1
o0900386	c	|DUG~b×KUR@g~a|	|DUG~b×KUR@g~a|	4
o0900389	c	|DUG~b×LAM~a|	|DUG~b×LAM~a|	3
o0900391	c	|DUG~b×MAŠ|	|DUG~b×MAŠ|	13
o0900394	c	|DUG~a×1(N57)|	|DUG~a×1(N57)|	8
o0900395	c	|DUG~b×1(N57)|	|DUG~b×1(N57)|	8
o0900398	c	|DUG~c~v2×1(N57)|	|DUG~c×1(N57)|	57
o0900401	c	|DUG~b×(1(N57).KU₃~a)|	|DUG~b×(1(N57).KU₃~a)|	3
o0900405	c	|DUG~b~v1×1(N58)|	|DUG~c×1(N58)|	1
o0900407	c	|DUG~a×NAGA~a|	|DUG~a×NAGA~a|	1
o0900408	c	|DUG~b×NAGA~a|	|DUG~b×NAGA~a|	6
o0900410	c	|DUG~b×NAM₂|	|DUG~b×NAM₂|	1
o0900414	c	|DUG~b×SA~a|	|DUG~b×SA~a|	5
o0900416	c	|DUG~b×(SA~a.GI)|	|DUG~b×(SA~a.GI)|	4
o0900418	c	|DUG~b×SI₄~a|	|DUG~b×SI₄~a|	6
o0900420	c	|DUG~b×(SI₄~a.X)|	|DUG~b×(SI₄~a.X)|	1
o0900422	c	|DUG~b×SIG₂~a1|	|DUG~b×SIG₂~a1|	3
o0900423	c	|DUG~b×SIG₂~a2|	|DUG~b×SIG₂~a2|	2
o0900425	c	|DUG~b×SIG₇|	|DUG~b×SIG₇|	19
o0900427	c	|DUG~b×SUHUR|	|DUG~b×SUHUR|	1
o0900431	c	|DUG~b×ŠAH₂~a|	|DUG~b×ŠAH₂~a|	4
o0900433	c	|DUG~b×ŠE~a|	|DUG~b×ŠE~a|	18
o0900437	c	|DUG~b×(ŠE~a.NAM₂)|	|DUG~b×(ŠE~a.NAM₂)|	7
o0900439	c	|DUG~b×TAK₄~a|	|DUG~b×TAK₄~a|	4
o0900441	c	|DUG~b×(TAK₄~a.SA~a)|	|DUG~b×(TAK₄~a.SA~a)|	1
o0900443	c	|DUG~b×(TAK₄~a.SAL)|	|DUG~b×(TAK₄~a.SAL)|	1
o0900445	c	|DUG~b×TI|	|DUG~b×TI|	7
o0900447	c	|DUG~a×U₂~a|	|DUG~a×U₂~a|	1
o0900448	c	|DUG~a×U₂~b|	|DUG~a×U₂~b|	1
o0900449	c	|DUG~b×U₂~a|	|DUG~b×U₂~a|	1
o0900452	c	|DUG~b~v2×U₂~b|	|DUG~b×U₂~b|	1
o0900454	c	|DUG~b×(UDU~a×TAR~b)|	|DUG~b×(UDU~a×TAR~b)|	2
o0900456	c	|DUG~b×UH₃~a|	|DUG~b×UH₃~a|	3
o0900458	c	|DUG~b×UH₃~a@t|	|DUG~b×UH₃~a@t|	1
o0900461	c	|DUG~b×X|	|DUG~b×X|	111
o0900466	c	|DUG~b×ZATU764|	|DUG~b×ZATU764|	2
o0900468	c	|DUG~b×ZATU779|	|DUG~b×ZATU779|	2
o0900470	c	|DUG~b×ZATU780|	|DUG~b×ZATU780|	2
o0900472	c	|DUG~b×ZATU781|	|DUG~b×ZATU781|	3
o0900474	c	|DUG~b×(ZATU789.SA~a)|	|DUG~b×(ZATU789.SA~a)|	1
o0900476	c	|(DUG~b~v1&DUG~b~v1)×1(N58)|	|DUG~b&(DUG~b×1(N58))|	1
o0900479	s	DUG~c@t	DUG~c@t	1
o0900481	s	DUGUD	DUGUD	1
o0900483	s	DUR~a	DUR~a	22
o0900484	s	DUR~b	DUR~b	34
o0900485	s	DUR₂	DUR₂	57
o0900487	s	E~a	E~a	80
o0900488	s	E~b	E~b	19
o0900489	s	E~c	E~c	1
o0900493	s	E₂~a	E₂~a	434
o0900494	s	E₂~b	E₂~b	91
o0900495	s	E₂~c	E₂~c	1
o0900496	s	E₂~d	E₂~d	2
o0900503	c	|E₂~a×1(N58@t)|	|E₂~a×1(N57)@t|	38
o0900504	c	|E₂~b×1(N58@t)|	|E₂~b×1(N57)@t|	5
o0900510	s	E₃~b	E₃~b	1
o0900511	s	EDIN	EDIN	5
o0900513	s	EN~a	EN~a	1186
o0900517	s	EN~b	EN~b	67
o0900519	s	EN~c	EN~c	15
o0900523	c	|EN~c&EN~c|	|EN~c&EN~c|	1
o0900525	s	EN@g~a	EN@g~a	2
o0900526	s	EN@g~b	EN@g~b	9
o0900528	s	EN~b@t	EN~b@t	1
o0900529	s	EN₂	EN₂	9
o0900531	c	|EN₂.E₂~a|	|EN₂.E₂~a|	1
o0900532	c	|EN₂.E₂~b|	|EN₂.E₂~b|	5
o0900532	c	|EN₂.E₂~b|	|EN₂×E₂~b|	2
o0900533	s	ENDIB	ENDIB	6
o0900534	s	ENGIZ	ENGIZ	20
o0900535	s	ENKUM	ENKUM	9
o0900541	s	ERIM~a	ERIM~a	141
o0900542	s	ERIM~b1	ERIM~b1	1
o0900543	s	ERIM~b2	ERIM~b2	2
o0900544	s	ERIM₂	ERIM₂	18
o0900545	s	ERIN	ERIN	120
o0900546	s	EŠDA	EŠDA	29
o0900547	c	|EŠDA×TAR~a|	|EŠDA×TAR|	1
o0900548	s	EŠGAR	EŠGAR	19
o0900550	s	EZEN~a	EZEN~a	16
o0900552	s	EZEN~b	EZEN~b	69
o0900554	s	EZEN~c	EZEN~c	5
o0900556	c	|EZEN~a~v1×EN~a|	|EZEN~a×EN~a|	1
o0900557	c	|EZEN~a×EN~b~v1|	|EZEN~a×EN~b|	2
o0900559	c	|EZEN~a×(HI×1(N57).AN)|	|EZEN~a×(HI.1(N57).AN)|	1
o0900561	c	|EZEN~a×KAB|	|EZEN~a×KAB|	1
o0900563	c	|EZEN~a×KAŠ~b|	|EZEN~a×KAŠ~b|	2
o0900565	c	|EZEN~a×KI|	|EZEN~a+KI|	1
o0900570	c	|EZEN~b×6(N57)|	|EZEN~b×6(N57)|	1
o0900573	c	|EZEN~a×NIM~b2|	|EZEN~a×NIM~b2|	1
o0900575	c	|EZEN~a×NIMGIR|	|EZEN~a×NIMGIR|	2
o0900577	c	|EZEN~a×RAD~a|	|EZEN~a×RAD~a|	1
o0900581	c	|EZEN~a×SU~a|	|EZEN~a×SU~a|	6
o0900583	c	|EZEN~a×(U₂~b.A)|	|EZEN~a×(U₂~b.A)|	2
o0900585	c	|EZEN~a×U₄|	|EZEN~a×U₄|	1
o0900587	c	|EZEN~a×X|	|EZEN~a×X|	1
o0900594	s	EZINU~a	EZINU~a	8
o0900595	s	EZINU~b	EZINU~b	1
o0900596	s	EZINU~c	EZINU~c	4
o0900597	s	EZINU~d	EZINU~d	8
o0900599	s	GA~a	GA~a	171
o0900604	s	GA~b	GA~b	25
o0900605	s	GA~c	GA~c	4
o0900607	c	|GA~a~v1.ZATU753|	|GA~a.ZATU753|	65
o0900610	c	|GA~c×KASKAL|	|GA~c×KASKAL|	2
o0900612	c	|GA~c×1(N14)|	|GA~c×1(N14)|	1
o0900616	s	GA₂~a1	GA₂~a1	86
o0900617	s	GA₂~a2	GA₂~a2	13
o0900618	s	GA₂~a3	GA₂~a3	1
o0900619	s	GA₂~a4	GA₂~a4	1
o0900620	s	GA₂~b	GA₂~b	18
o0900621	s	GA₂~c	GA₂~c	1
o0900623	c	|GA₂~a1×A|	|GA₂~a1×A|	3
o0900625	c	|GA₂~b×DUB~a|	|GA₂~b×DUB~a|	6
o0900626	c	|GA₂~b×DUB~b~v2|	|GA₂~b×DUB~b|	1
o0900628	c	|GA₂~a1×E₂~a|	|GA₂~a×E₂~a|	1
o0900631	c	|GA₂~a1×EN~b~v1|	|GA₂~a1×EN~b|	1
o0900633	c	|GA₂~a1×GEŠTU~a|	|GA₂~a1×GEŠTU~a|	1
o0900634	c	|GA₂~a1×GEŠTU~c3|	|GA₂~a1×GEŠTU~c3|	1
o0900635	c	|GA₂~a1×GEŠTU~c5|	|GA₂~a1×GEŠTU~c5|	10
o0900637	c	|GA₂~a1×GIR~a|	|GA₂~a1×GIR~a|	5
o0900639	c	|GA₂~a1×(GIR~a.KU₆~a)|	|GA₂~a1×(GIR~a.KU₆~a)|	1
o0900641	c	|GA₂~a1×GIŠ@t|	|GA₂~a1×GIŠ@t|	1
o0900644	c	|GA₂~a2×GU₄|	|GA₂~a2×GU₄|	3
o0900646	c	|GA₂~a2×(ŠE₃~v1.GU₄)|	|GA₂~a2×(GU₄.ŠE₃)|	9
o0900648	c	|GA₂~a1×HAL|	|GA₂~a1×HAL|	1
o0900650	c	|GA₂~a1×HI|	|GA₂~a1×HI|	3
o0900654	c	|GA₂~a1×KU₃~a|	|GA₂~a1×KU₃~a|	1
o0900657	c	|GA₂~a1×KU₆~a|	|GA₂~a1×KU₆~a|	11
o0900658	c	|GA₂~b×KU₆~a|	|GA₂~b×KU₆~a|	1
o0900660	c	|GA₂~a1×(KU₆~a.KU₆~a)|	|GA₂~a1×(KU₆~a.KU₆~a)|	1
o0900662	c	|GA₂~a1×LAGAB~b|	|GA₂~a1×LAGAB~b|	1
o0900664	c	|GA₂~a1×MAŠ|	|GA₂~a1×MAŠ|	1
o0900666	c	|GA₂~a1×1(N14)|	|GA₂~a1×1(N14)|	3
o0900668	c	|GA₂~a1×1(N57)|	|GA₂~a1×1(N57)|	3
o0900677	c	|GA₂~a2×NI~a|	|GA₂~a2×NI~a|	1
o0900685	c	|GA₂~a1×PAD~b|	|GA₂~a1×PAD~b|	1
o0900687	c	|GA₂~a1×PAP~a|	|GA₂~a1×PAP~a|	1
o0900689	c	|GA₂~a1×SU~a|	|GA₂~a1×SU~a|	1
o0900691	c	|GA₂~a1×SUHUR|	|GA₂~a1×SUHUR|	5
o0900692	c	|GA₂~a2×SUHUR|	|GA₂~a2×SUHUR|	1
o0900694	c	|GA₂~a1×SUKUD|	|GA₂~a1×SUKUD|	5
o0900699	c	|GA₂~a1×SUMAŠ|	|GA₂~a1×SUMAŠ|	1
o0900701	c	|GA₂~a1×ŠA|	|GA₂~a1×ŠA|	1
o0900703	c	|GA₂~a2×ŠE₃~v1|	|GA₂~a2×ŠE₃|	3
o0900705	c	|GA₂~a1×TI|	|GA₂~a1×TI|	3
o0900707	c	|GA₂~a1×U₄|	|GA₂~a1×U₄|	9
o0900709	c	|GA₂~a1×X|	|GA₂~a1×X|	13
o0900711	c	|GA₂~a2×X|	|GA₂~a2×X|	1
o0900712	c	|GA₂~a3×X|	|GA₂~a3×X|	1
o0900715	c	|GA₂~b×ZATU659|	|GA₂~b×ZATU659|	1
o0900719	s	GAʾAR~a1	GAʾAR~a1	42
o0900720	s	GAʾAR~a2	GAʾAR~a2	12
o0900721	s	GAʾAR~b1	GAʾAR~b1	2
o0900722	s	GAʾAR~b2	GAʾAR~b2	3
o0900724	s	GADA~a	GADA~a	83
o0900727	s	GADA~b@g	GADA~b@g	5
o0900729	s	GAL~a	GAL~a	911
o0900730	s	GAL~b	GAL~b	9
o0900732	s	GALGA~a	GALGA~a	12
o0900733	s	GALGA~b	GALGA~b	1
o0900736	s	GAN~a	GAN~a	41
o0900738	s	GAN~b	GAN~b	33
o0900742	s	GAN~c	GAN~c	24
o0900747	c	|GAN~c×DIN|	|GAN~c×DIN|	1
o0900749	c	|GAN~d×GEŠTU~a~v2|	|GAN~d×GEŠTU~a|	1
o0900751	c	|GAN~c×HI|	|GAN~c×HI|	1
o0900755	c	|GAN~c×(HI.DIN)|	|GAN~c×(HI.DIN)|	2
o0900757	c	|GAN~c~v1×KAŠ~c|	|GAN~c×KAŠ~c|	2
o0900759	c	|GAN~c~v1×(KUR~a.A)|	|GAN~c×(KUR~a.A)|	1
o0900761	c	|GAN~c×LAGAB~b|	|GAN~c×LAGAB~b|	2
o0900763	c	|GAN~c×(4(N57).GAR)|	|GAN~c×(4(N57).GAR)|	1
o0900767	c	|GAN~c×SIG₇|	|GAN~c×SIG₇|	1
o0900769	c	|GAN~c~v2×ŠE~a|	|GAN~c×ŠE~a|	2
o0900773	c	|GAN~c×X|	|GAN~c×X|	2
o0900775	c	|GAN~c~v1×ZATU777~v1|	|GAN~c×ZATU777|	1
o0900778	s	GAN₂	GAN₂	199
o0900779	s	GAR	GAR	252
o0900781	s	GAR@g~a	GAR@g~a	4
o0900782	s	GAR@g~b	GAR@g~b	3
o0900783	s	GAR@g~c	GAR@g~c	2
o0900784	s	GAR₃	GAR₃	29
o0900786	s	GARA₂~a	GARA₂~a	37
o0900788	s	GAZI	GAZI	14
o0900790	s	GEŠTIN~a	GEŠTIN~a	6
o0900792	s	GEŠTIN~d	GEŠTIN~d	1
o0900793	s	GEŠTIN~e	GEŠTIN~e	1
o0900797	s	GEŠTU~a	GEŠTU~a	18
o0900800	s	GEŠTU~b	GEŠTU~b	48
o0900801	s	GEŠTU~c3	GEŠTU~c3	7
o0900803	s	GEŠTU~c5	GEŠTU~c5	2
o0900806	s	GI	GI	460
o0900809	c	|GI×A|	|GI+A|	1
o0900810	c	|GI~v1×GIŠ@t|	|GI×GIŠ@t|	1
o0900812	c	|GI×KU~b1|	|GI×KU~b1|	6
o0900814	c	|GI~v1×LAGAB~a|	|GI×LAGAB~a|	3
o0900815	c	|GI~v1×1(N14)|	|GI×1(N14)|	1
o0900816	c	|GI×1(N58@t)|	|GI×1(N58)@t|	2
o0900817	c	|GI×NAM₂|	|GI×NAM₂|	1
o0900819	c	|GI×SIG₂~d1|	|GI×SIG₂~d1|	2
o0900820	c	|GI×ŠE₃~v1|	|GI×ŠE₃|	5
o0900822	c	|GI&GI|	|GI&GI|	64
o0900823	c	|(GI&GI)×GIŠ@t|	|(GI&GI)×GIŠ@t|	1
o0900826	c	|GI~v1&GI~v1&GI~v1|	|GI&GI&GI|	2
o0900827	s	GI@t	GI@t	1
o0900829	s	GI₄~a	GI₄~a	21
o0900830	s	GI₄~b	GI₄~b	7
o0900832	c	|GI₄~a×A|	|GI₄~a×A|	1
o0900835	c	|GI₄~b&GI₄~b|	|GI₄~b&GI₄~b|	1
o0900836	s	GI₆	GI₆	91
o0900839	s	GIBIL	GIBIL	81
o0900841	s	GIBIL₆	GIBIL₆	2
o0900845	s	GIR~a	GIR~a	14
o0900846	s	GIR~b	GIR~b	4
o0900848	s	GIR~c	GIR~c	3
o0900849	s	GIR~d	GIR~d	1
o0900851	c	|GIR~b~v1.GIR~b~v1|	|GIR~b.GIR~b|	4
o0900853	c	|GIR~a.KU₆~a|	|GIR~a.KU₆~a|	1
o0900855	s	GIR₂~a	GIR₂~a	66
o0900858	s	GIR₃~a	GIR₃~a	21
o0900859	s	GIR₃~b	GIR₃~b	1
o0900860	s	GIR₃~c	GIR₃~c	60
o0900864	c	|GIR₃~a×ŠE~b|	|GIR₃~a×ŠE~b|	1
o0900866	c	|GIR₃~c×ŠE₃~v1|	|GIR₃~c×ŠE₃|	2
o0900869	s	GIR₃@g~a	GIR₃@g~a	4
o0900870	s	GIR₃@g~b	GIR₃@g~b	69
o0900871	s	GIR₃@g~c	GIR₃@g~c	5
o0900873	s	GISAL~a	GISAL~a	1
o0900874	s	GISAL~b	GISAL~b	2
o0900875	s	GIŠ	GIŠ	343
o0900877	c	|GIŠ.TE|	|GIŠ.TE|	24
o0900879	c	|(GIŠ×(DIN.DIN))~a|	|(GIŠ×(DIN.DIN))~a|	4
o0900880	c	|(GIŠ×(DIN.DIN))~b|	|(GIŠ×(DIN.DIN))~b|	1
o0900881	c	|(GIŠ×(DIN.DIN))~c|	|(GIŠ×(DIN.DIN))~c|	1
o0900883	c	|(GIŠ×ŠU₂)~a|	|GIŠ×ŠU₂~a|	30
o0900884	c	|(GIŠ×ŠU₂)~b|	|GIŠ×ŠU₂~b|	16
o0900885	s	GIŠ@t	GIŠ@t	34
o0900889	s	GIŠ₃~a	GIŠ₃~a	12
o0900890	s	GIŠ₃~b	GIŠ₃~b	20
o0900892	c	|GIŠ₃~a&GIŠ₃~a|	|GIŠ₃~a&GIŠ₃~a|	2
o0900893	s	GIŠGAL	GIŠGAL	9
o0900896	s	GIŠIMMAR~a1	GIŠIMMAR~a1	5
o0900897	s	GIŠIMMAR~a2	GIŠIMMAR~a2	8
o0900898	s	GIŠIMMAR~a3	GIŠIMMAR~a3	1
o0900899	s	GIŠIMMAR~b1	GIŠIMMAR~b1	41
o0900902	s	GIŠIMMAR~b2	GIŠIMMAR~b2	1
o0900903	s	GIŠIMMAR~b3	GIŠIMMAR~b3	2
o0900906	s	GU	GU	42
o0900906	s	GU	GU~a	15
o0900907	s	GU₂	GU₂	2
o0900908	s	GU₄	GU₄	162
o0900911	c	|GU₄.ZATU755~b|	|GU₄.ZATU755~a|	1
o0900912	s	GU₇	GU₇	254
o0900914	s	GU₄@g	GU₄@g	3
o0900916	s	GUB₃~a	GUB₃~a	4
o0900917	s	GUB₃~b	GUB₃~b	1
o0900918	s	GUB₃~c	GUB₃~c	3
o0900919	s	GUB₃~d	GUB₃~d	1
o0900920	s	GUG₂	GUG₂	115
