pc25u	pc25c	ap24u	ap24c	pc25pcsl	ap24pcsl	pc25uname	ap24uname	oid
12AF5	𒫵	12C5C	𒱜	UR₅~a	UR₅~a	UR5-A	UR5-A	o0902327
12AF6	𒫶	12C5D	𒱝	UR₅~b	UR₅~b	UR5-B	UR5-B	o0902328
12AF7	𒫷	12C5E	𒱞	URI	URI	URI	URI	o0902329
12AF8	𒫸	12C5F	𒱟	URI₃~a	URI₃~a	URI3-A	URI3-A	o0902332
12AF9	𒫹	12C61	𒱡	URI₃~b	URI₃~b	URI3-B	URI3-B	o0902334
12AFA	𒫺	12C62	𒱢	URI₅	URI₅	URI5	URI5	o0902337
12AFB	𒫻	12C63	𒱣	URU~a1	URU~a1	URU-A1	URU-A1	o0902339
12AFC	𒫼	12C64	𒱤	|URU~a1×AMAR|	|URU~a1×AMAR~v2|	URU-A1 TIMES AMAR	URU-A1 TIMES AMAR VARIANT 2	o0902347
12AFD	𒫽	12C66	𒱦	|URU~a1×HI@g~a|	|URU~a1×HI@g~a|	URU-A1 TIMES HI GUNU-A	URU-A1 TIMES HI GUNU-A	o0902351
12AFE	𒫾	F301B	󳀛	|URU~a1×KI|		URU-A1 TIMES KI		o0902355
12AFF	𒫿	12C67	𒱧	|URU~a1×NIMGIR|	|URU~a1×NIMGIR|	URU-A1 TIMES NIMGIR	URU-A1 TIMES NIMGIR	o0902365
12B00	𒬀	12C68	𒱨	|URU~a1×U₄|	|URU~a1×U₄|	URU-A1 TIMES U4	URU-A1 TIMES U4	o0902367
12B01	𒬁	12C6A	𒱪	|URU~a1×1(N57)|	|URU~a1×1(N57)|	URU-A1 TIMES ONE-N57	URU-A1 TIMES ONE-N57	o0902357
12B02	𒬂	F304F	󳁏	|URU~a1×3(N57)|		URU-A1 TIMES THREE-N57		o0902361
12B03	𒬃	12C6D	𒱭	URU~a2	URU~a2	URU-A2	URU-A2	o0902340
12B04	𒬄	12C6E	𒱮	|URU~a2×1(N58)|	|URU~a2×1(N58)|	URU-A2 TIMES ONE-N58	URU-A2 TIMES ONE-N58	o0902363
12B05	𒬅	12C6F	𒱯	|URU~a3×KALAM~a|	|URU~a3×KALAM~a|	URU-A3 TIMES KALAM-A	URU-A3 TIMES KALAM-A	o0902353
12B06	𒬆	12C70	𒱰	URU~b1	URU~b1	URU-B1	URU-B1	o0902341
12B07	𒬇	12C71	𒱱	URU~b2	URU~b2	URU-B2	URU-B2	o0902342
12B08	𒬈	12C72	𒱲	URU~c	URU~c	URU-C	URU-C	o0902343
12B09	𒬉	12C73	𒱳	URUDU~a	URUDU~a	URUDU-A	URUDU-A	o0902373
