pc25u	pc25c	ap24u	ap24c	pc25pcsl	ap24pcsl	pc25uname	ap24uname	oid
127A9	𒞩	12803	𒠃	EZEN~b	EZEN~b	EZEN-B	EZEN-B	o0900552
127AA	𒞪	12804	𒠄	|EZEN~b×6(N57)|	|EZEN~b×6(N57)|~v1	EZEN-B TIMES SIX-N57	EZEN-B TIMES SIX-N57 VARIANT 1	o0900570
127AB	𒞫	12805	𒠅	EZEN~c	EZEN~b@t	EZEN-C	EZEN-B TENU	o0900554
127AC	𒞬	12806	𒠆	EZINU~a	EZINU~a	EZINU-A	EZINU-A	o0900594
127AD	𒞭	12807	𒠇	EZINU~b	EZINU~b	EZINU-B	EZINU-B	o0900595
127AE	𒞮	12808	𒠈	EZINU~c	EZINU~c	EZINU-C	EZINU-C	o0900596
127AF	𒞯	12809	𒠉	EZINU~d	EZINU~d	EZINU-D	EZINU-D	o0900597
127B0	𒞰	1280A	𒠊	GA~a	GA~a	GA-A	GA-A	o0900599
127B1	𒞱	12811	𒠑	GA~b	GA~b	GA-B	GA-B	o0900604
127B2	𒞲	12812	𒠒	GA~c	GA~c	GA-C	GA-C	o0900605
127B3	𒞳	12813	𒠓	|GA~c×KASKAL|	|GA~c×KASKAL|	GA-C TIMES KASKAL	GA-C TIMES KASKAL	o0900610
127B4	𒞴	12814	𒠔	|GA~c×1(N14)|	|GA~c×1(N14)|	GA-C TIMES ONE-N14	GA-C TIMES ONE-N14	o0900612
127B5	𒞵	12815	𒠕	GA₂~a1	GA₂~a1	GA2-A1	GA2-A1	o0900616
127B6	𒞶	12816	𒠖	|GA₂~a1×A|	|GA₂~a1×A|	GA2-A1 TIMES A	GA2-A1 TIMES A	o0900623
127B7	𒞷	F3039	󳀹	|GA₂~a1×E₂~a|		GA2-A1 TIMES E2-A		o0900628
127B8	𒞸	12817	𒠗	|GA₂~a1×EN~b|	|GA₂~a1×EN~b~v1|	GA2-A1 TIMES EN-B	GA2-A1 TIMES EN-B VARIANT 1	o0900631
127B9	𒞹	F306B	󳁫	|GA₂~a1×GEŠTU~a|		GA2-A1 TIMES GESHTU-A		o0900633
127BA	𒞺	12818	𒠘	|GA₂~a1×GEŠTU~c3|	|GA₂~a1×GEŠTU~c3|	GA2-A1 TIMES GESHTU-C3	GA2-A1 TIMES GESHTU-C3	o0900634
127BB	𒞻	12819	𒠙	|GA₂~a1×GEŠTU~c5|	|GA₂~a1×GEŠTU~c5|	GA2-A1 TIMES GESHTU-C5	GA2-A1 TIMES GESHTU-C5	o0900635
127BC	𒞼	1281A	𒠚	|GA₂~a1×GIR~a|	|GA₂~a1×GIR~a|	GA2-A1 TIMES GIR-A	GA2-A1 TIMES GIR-A	o0900637
127BD	𒞽	1281B	𒠛	|GA₂~a1×(GIR~a.KU₆~a)|	|GA₂~a1×(GIR~a.KU₆~a)|	GA2-A1 TIMES GIR-A PLUS KU6-A	GA2-A1 TIMES GIR-A PLUS KU6-A	o0900639
127BE	𒞾	1281C	𒠜	|GA₂~a1×GIŠ@t|	|GA₂~a1×GIŠ@t|	GA2-A1 TIMES GISH TENU	GA2-A1 TIMES GISH TENU	o0900641
127BF	𒞿	1281D	𒠝	|GA₂~a1×HAL|	|GA₂~a1×HAL|	GA2-A1 TIMES HAL	GA2-A1 TIMES HAL	o0900648
127C0	𒟀	1281E	𒠞	|GA₂~a1×HI|	|GA₂~a1×HI|	GA2-A1 TIMES HI	GA2-A1 TIMES HI	o0900650
127C1	𒟁	12820	𒠠	|GA₂~a1×KU₃~a|	|GA₂~a1×KU₃~a|	GA2-A1 TIMES KU3-A	GA2-A1 TIMES KU3-A	o0900654
127C2	𒟂	12821	𒠡	|GA₂~a1×KU₆~a|	|GA₂~a1×KU₆~a|	GA2-A1 TIMES KU6-A	GA2-A1 TIMES KU6-A	o0900657
127C3	𒟃	12822	𒠢	|GA₂~a1×(KU₆~a.KU₆~a)|	|GA₂~a1×(KU₆~a.KU₆~a)|	GA2-A1 TIMES KU6-A PLUS KU6-A	GA2-A1 TIMES KU6-A PLUS KU6-A	o0900660
127C4	𒟄	12823	𒠣	|GA₂~a1×LAGAB~b|	|GA₂~a1×LAGAB~b|	GA2-A1 TIMES LAGAB-B	GA2-A1 TIMES LAGAB-B	o0900662
127C5	𒟅	12824	𒠤	|GA₂~a1×MAŠ|	|GA₂~a1×MAŠ|	GA2-A1 TIMES MASH	GA2-A1 TIMES MASH	o0900664
127C6	𒟆	12827	𒠧	|GA₂~a1×PAD~b|	|GA₂~a1×PAD~b|	GA2-A1 TIMES PAD-B	GA2-A1 TIMES PAD-B	o0900685
127C7	𒟇	12828	𒠨	|GA₂~a1×PAP~a|	|GA₂~a1×PAP~a|	GA2-A1 TIMES PAP-A	GA2-A1 TIMES PAP-A	o0900687
127C8	𒟈	12829	𒠩	|GA₂~a1×SU~a|	|GA₂~a1×SU~a|	GA2-A1 TIMES SU-A	GA2-A1 TIMES SU-A	o0900689
127C9	𒟉	1282A	𒠪	|GA₂~a1×SUHUR|	|GA₂~a1×SUHUR|	GA2-A1 TIMES SUHUR	GA2-A1 TIMES SUHUR	o0900691
127CA	𒟊	1282B	𒠫	|GA₂~a1×SUKUD|	|GA₂~a1×SUKUD|	GA2-A1 TIMES SUKUD	GA2-A1 TIMES SUKUD	o0900694
127CB	𒟋	1282E	𒠮	|GA₂~a1×SUMAŠ|	|GA₂~a1×SUMAŠ|	GA2-A1 TIMES SUMASH	GA2-A1 TIMES SUMASH	o0900699
127CC	𒟌	1282F	𒠯	|GA₂~a1×ŠA|	|GA₂~a1×ŠA|	GA2-A1 TIMES SHA	GA2-A1 TIMES SHA	o0900701
127CD	𒟍	12830	𒠰	|GA₂~a1×TI|	|GA₂~a1×TI|	GA2-A1 TIMES TI	GA2-A1 TIMES TI	o0900705
127CE	𒟎	12831	𒠱	|GA₂~a1×U₄|	|GA₂~a1×U₄|	GA2-A1 TIMES U4	GA2-A1 TIMES U4	o0900707
127CF	𒟏	12833	𒠳	|GA₂~a1×1(N14)|	|GA₂~a1×1(N14)|	GA2-A1 TIMES ONE-N14	GA2-A1 TIMES ONE-N14	o0900666
127D0	𒟐	12834	𒠴	|GA₂~a1×1(N57)|	|GA₂~a1×1(N57)|	GA2-A1 TIMES ONE-N57	GA2-A1 TIMES ONE-N57	o0900668
127D1	𒟑	12836	𒠶	GA₂~a2	GA₂~a2	GA2-A2	GA2-A2	o0900617
127D2	𒟒	12837	𒠷	|GA₂~a2×GU₄|	|GA₂~a2×GU₄|	GA2-A2 TIMES GU4	GA2-A2 TIMES GU4	o0900644
127D3	𒟓	12838	𒠸	|GA₂~a2×NI~a|	|GA₂~a2×NI~a|	GA2-A2 TIMES NI-A	GA2-A2 TIMES NI-A	o0900677
127D4	𒟔	1283A	𒠺	|GA₂~a2×SUHUR|	|GA₂~a2×SUHUR|	GA2-A2 TIMES SUHUR	GA2-A2 TIMES SUHUR	o0900692
127D5	𒟕	1283B	𒠻	|GA₂~a2×ŠE₃|	|GA₂~a2×ŠE₃~v1|	GA2-A2 TIMES SHE3	GA2-A2 TIMES SHE3 VARIANT 1	o0900703
127D6	𒟖	1283C	𒠼	|GA₂~a2×(ŠE₃.GU₄)|	|GA₂~a2×(ŠE₃~v1.GU₄)|	GA2-A2 TIMES SHE3 PLUS GU4	GA2-A2 TIMES SHE3 VARIANT 1 PLUS GU4	o0900646
127D7	𒟗	1283E	𒠾	GA₂~a3	GA₂~a3	GA2-A3	GA2-A3	o0900618
127D8	𒟘	12840	𒡀	GA₂~a4	GA₂~a4	GA2-A4	GA2-A4	o0900619
127D9	𒟙	12841	𒡁	GA₂~b	GA₂~b	GA2-B	GA2-B	o0900620
127DA	𒟚	12842	𒡂	|GA₂~b×DUB~a|	|GA₂~b×DUB~a|	GA2-B TIMES DUB-A	GA2-B TIMES DUB-A	o0900625
127DB	𒟛	12843	𒡃	|GA₂~b×DUB~b|	|GA₂~b×DUB~b~v2|	GA2-B TIMES DUB-B	GA2-B TIMES DUB-B VARIANT 2	o0900626
127DC	𒟜	F306C	󳁬	|GA₂~b×KU₆~a|		GA2-B TIMES KU6-A		o0900658
127DD	𒟝	12845	𒡅	|GA₂~b×ZATU659|	|GA₂~b×ZATU659|	GA2-B TIMES ZATU659	GA2-B TIMES ZATU659	o0900715
127DE	𒟞	12846	𒡆	GA₂~c	GA₂~c	GA2-C	GA2-C	o0900621
127DF	𒟟	12847	𒡇	GAʾAR~a1	GAʾAR~a1	GAAR-A1	GAAR-A1	o0900719
127E0	𒟠	12848	𒡈	GAʾAR~a2	GAʾAR~a2	GAAR-A2	GAAR-A2	o0900720
127E1	𒟡	12849	𒡉	GAʾAR~b1	GAʾAR~b1	GAAR-B1	GAAR-B1	o0900721
127E2	𒟢	1284A	𒡊	GAʾAR~b2	GAʾAR~b2	GAAR-B2	GAAR-B2	o0900722
127E3	𒟣	1284B	𒡋	GADA~a	GADA~a	GADA-A	GADA-A	o0900724
127E4	𒟤	1284D	𒡍	GADA~b@g	GADA~b@g	GADA-B GUNU	GADA-B GUNU	o0900727
127E5	𒟥	1284E	𒡎	GAL~a	GAL~a	GAL-A	GAL-A	o0900729
127E6	𒟦	1284F	𒡏	GAL~b	GAL~b	GAL-B	GAL-B	o0900730
127E7	𒟧	12850	𒡐	GALGA~a	GALGA~a	GALGA-A	GALGA-A	o0900732
127E8	𒟨	12852	𒡒	GAN~a	GAN~a	GAN-A	GAN-A	o0900736
127E9	𒟩	12854	𒡔	GAN~b	GAN~b	GAN-B	GAN-B	o0900738
127EA	𒟪	12858	𒡘	GAN~c	GAN~c	GAN-C	GAN-C	o0900742
127EB	𒟫	12859	𒡙	|GAN~c×DIN|	|GAN~c×DIN|	GAN-C TIMES DIN	GAN-C TIMES DIN	o0900747
127EC	𒟬	1285A	𒡚	|GAN~c×HI|	|GAN~c×HI|	GAN-C TIMES HI	GAN-C TIMES HI	o0900751
127ED	𒟭	1285B	𒡛	|GAN~c×(HI.DIN)|	|GAN~c×(HI.DIN)|	GAN-C TIMES HI PLUS DIN	GAN-C TIMES HI PLUS DIN	o0900755
127EE	𒟮	1285C	𒡜	|GAN~c×LAGAB~b|	|GAN~c×LAGAB~b|	GAN-C TIMES LAGAB-B	GAN-C TIMES LAGAB-B	o0900761
127EF	𒟯	1285E	𒡞	|GAN~c×SIG₇|	|GAN~c×SIG₇|	GAN-C TIMES SIG7	GAN-C TIMES SIG7	o0900767
127F0	𒟰	F303A	󳀺	|GAN~c×(4(N57).GAR)|		GAN-C TIMES FOUR-N57 PLUS GAR		o0900763
127F1	𒟱	12861	𒡡	|GAN~c×KAŠ~c|	|GAN~c~v1×KAŠ~c|	GAN-C TIMES KASH-C	GAN-C VARIANT 1 TIMES KASH-C	o0900757
127F2	𒟲	12862	𒡢	|GAN~c×(KUR~a.A)|	|GAN~c~v1×(KUR~a.A)|	GAN-C TIMES KUR-A PLUS A	GAN-C VARIANT 1 TIMES KUR-A PLUS A	o0900759
127F3	𒟳	12863	𒡣	|GAN~c×ZATU777|	|GAN~c~v1×ZATU777~v1|	GAN-C TIMES ZATU777	GAN-C VARIANT 1 TIMES ZATU777 VARIANT 1	o0900775
127F4	𒟴	12866	𒡦	|GAN~d×GEŠTU~a|	|GAN~d×GEŠTU~a~v2|	GAN-D TIMES GESHTU-A	GAN-D TIMES GESHTU-A VARIANT 2	o0900749
127F5	𒟵	12867	𒡧	GAN₂	GAN₂	GAN2	GAN2	o0900778
127F6	𒟶	12868	𒡨	GAR	GAR	GAR	GAR	o0900779
127F7	𒟷	12869	𒡩	GAR@g~a	GAR@g~a	GAR GUNU-A	GAR GUNU-A	o0900781
127F8	𒟸	1286A	𒡪	GAR@g~b	GAR@g~b	GAR GUNU-B	GAR GUNU-B	o0900782
127F9	𒟹	1286B	𒡫	GAR@g~c	GAR@g~c	GAR GUNU-C	GAR GUNU-C	o0900783
127FA	𒟺	1286C	𒡬	GAR₃	GAR₃	GAR3	GAR3	o0900784
127FB	𒟻	1286D	𒡭	GARA₂~a	GARA₂~a	GARA2-A	GARA2-A	o0900786
127FC	𒟼	1286F	𒡯	GAZI	GAZI	GAZI	GAZI	o0900788
127FD	𒟽	12870	𒡰	GEŠTIN~a	GEŠTIN~a	GESHTIN-A	GESHTIN-A	o0900790
127FE	𒟾	F306E	󳁮	GEŠTIN~d		GESHTIN-D		o0900792
127FF	𒟿	F306F	󳁯	GEŠTIN~e		GESHTIN-E		o0900793
12800	𒠀	12871	𒡱	GEŠTU~a	GEŠTU~a	GESHTU-A	GESHTU-A	o0900797
12801	𒠁	12874	𒡴	GEŠTU~b	GEŠTU~b	GESHTU-B	GESHTU-B	o0900800
12802	𒠂	12875	𒡵	GEŠTU~c3	GEŠTU~c3	GESHTU-C3	GESHTU-C3	o0900801
12803	𒠃	12877	𒡷	GEŠTU~c5	GEŠTU~c5	GESHTU-C5	GESHTU-C5	o0900803
12804	𒠄	12878	𒡸	GI	GI	GI	GI	o0900806
12805	𒠅	F303B	󳀻	|GI×A|		GI TIMES A		o0900809
12806	𒠆	12879	𒡹	|GI×KU~b1|	|GI×KU~b1|	GI TIMES KU-B1	GI TIMES KU-B1	o0900812
12807	𒠇	1287A	𒡺	|GI×NAM₂|	|GI×NAM₂|	GI TIMES NAM2	GI TIMES NAM2	o0900817
12808	𒠈	1287B	𒡻	|GI×SIG₂~d1|	|GI×SIG₂~d1|	GI TIMES SIG2-D1	GI TIMES SIG2-D1	o0900819
12809	𒠉	1287C	𒡼	|GI×ŠE₃|	|GI×ŠE₃~v1|	GI TIMES SHE3	GI TIMES SHE3 VARIANT 1	o0900820
1280A	𒠊	1287E	𒡾	|GI×1(N58@t)|	|GI×1(N58@t)|	GI TIMES ONE-N58 TENU	GI TIMES ONE-N58 TENU	o0900816
1280B	𒠋	1287F	𒡿	|GI&GI|	|GI&GI|	GI OVER GI	GI OVER GI	o0900822
1280C	𒠌	12880	𒢀	|(GI&GI)×GIŠ@t|	|(GI&GI)×GIŠ@t|	GI OVER GI TIMES GISH TENU	GI OVER GI TIMES GISH TENU	o0900823
1280D	𒠍	12885	𒢅	|GI×GIŠ@t|	|GI~v1×GIŠ@t|	GI TIMES GISH TENU	GI VARIANT 1 TIMES GISH TENU	o0900810
1280E	𒠎	12886	𒢆	|GI×LAGAB~a|	|GI~v1×LAGAB~a|	GI TIMES LAGAB-A	GI VARIANT 1 TIMES LAGAB-A	o0900814
1280F	𒠏	12887	𒢇	|GI×1(N14)|	|GI~v1×1(N14)|	GI TIMES ONE-N14	GI VARIANT 1 TIMES ONE-N14	o0900815
12810	𒠐	12888	𒢈	|GI&GI&GI|	|GI~v1&GI~v1&GI~v1|	GI OVER GI OVER GI	GI VARIANT 1 OVER GI VARIANT 1 OVER GI VARIANT 1	o0900826
12811	𒠑	12883	𒢃	GI@t	GI@t	GI TENU	GI TENU	o0900827
12812	𒠒	12889	𒢉	GI₄~a	GI₄~a	GI4-A	GI4-A	o0900829
12813	𒠓	1288A	𒢊	|GI₄~a×A|	|GI₄~a×A|	GI4-A TIMES A	GI4-A TIMES A	o0900832
12814	𒠔	1288C	𒢌	GI₄~b	GI₄~b	GI4-B	GI4-B	o0900830
12815	𒠕	1288D	𒢍	|GI₄~b&GI₄~b|	|GI₄~b&GI₄~b|	GI4-B OVER GI4-B	GI4-B OVER GI4-B	o0900835
12816	𒠖	1288E	𒢎	GI₆	GI₆	GI6	GI6	o0900836
12817	𒠗	12890	𒢐	GIBIL	GIBIL	GIBIL	GIBIL	o0900839
12818	𒠘	12892	𒢒	GIBIL₆	GIBIL₆	GIBIL6	GIBIL6	o0900841
12819	𒠙	12893	𒢓	GIR~a	GIR~a	GIR-A	GIR-A	o0900845
1281A	𒠚	12895	𒢕	GIR~b	GIR~b	GIR-B	GIR-B	o0900846
1281B	𒠛	12898	𒢘	GIR~c	GIR~c	GIR-C	GIR-C	o0900848
1281C	𒠜	1289A	𒢚	GIR₂~a	GIR₂~a	GIR2-A	GIR2-A	o0900855
1281D	𒠝	1289C	𒢜	GIR₃~a	GIR₃~a	GIR3-A	GIR3-A	o0900858
1281E	𒠞	1289D	𒢝	|GIR₃~a×ŠE~b|	|GIR₃~a×ŠE~b|	GIR3-A TIMES SHE-B	GIR3-A TIMES SHE-B	o0900864
1281F	𒠟	1289E	𒢞	GIR₃~b	GIR₃~b	GIR3-B	GIR3-B	o0900859
12820	𒠠	1289F	𒢟	GIR₃~c	GIR₃~c	GIR3-C	GIR3-C	o0900860
12821	𒠡	128A1	𒢡	|GIR₃~c×ŠE₃|	|GIR₃~c×ŠE₃~v1|	GIR3-C TIMES SHE3	GIR3-C TIMES SHE3 VARIANT 1	o0900866
12822	𒠢	128A2	𒢢	GIR₃@g~a	GIR₃@g~a	GIR3 GUNU-A	GIR3 GUNU-A	o0900869
12823	𒠣	128A3	𒢣	GIR₃@g~b	GIR₃@g~b	GIR3 GUNU-B	GIR3 GUNU-B	o0900870
12824	𒠤	128A4	𒢤	GIR₃@g~c	GIR₃@g~c	GIR3 GUNU-C	GIR3 GUNU-C	o0900871
12825	𒠥	128A5	𒢥	GISAL~a	GISAL~a	GISAL-A	GISAL-A	o0900873
12826	𒠦	128A6	𒢦	GISAL~b	GISAL~b	GISAL-B	GISAL-B	o0900874
12827	𒠧	128A7	𒢧	GIŠ	GIŠ	GISH	GISH	o0900875
12828	𒠨	128A9	𒢩	|(GIŠ×(DIN.DIN))~a|	|(GIŠ×(DIN.DIN))~a|	GISH TIMES DIN PLUS DIN FORM A	GISH TIMES DIN PLUS DIN FORM A	o0900879
12829	𒠩	128AA	𒢪	|(GIŠ×(DIN.DIN))~b|	|(GIŠ×(DIN.DIN))~b|	GISH TIMES DIN PLUS DIN FORM B	GISH TIMES DIN PLUS DIN FORM B	o0900880
1282A	𒠪	128AB	𒢫	|(GIŠ×(DIN.DIN))~c|	|(GIŠ×(DIN.DIN))~c|	GISH TIMES DIN PLUS DIN FORM C	GISH TIMES DIN PLUS DIN FORM C	o0900881
1282B	𒠫	128AC	𒢬	|(GIŠ×ŠU₂)~a|	|GIŠ×ŠU₂~a|	GISH TIMES SHU2 FORM A	GISH TIMES SHU2-A	o0900883
1282C	𒠬	128AD	𒢭	|(GIŠ×ŠU₂)~b|	|GIŠ×ŠU₂~b|	GISH TIMES SHU2 FORM B	GISH TIMES SHU2-B	o0900884
1282D	𒠭	128AE	𒢮	GIŠ@t	GIŠ@t	GISH TENU	GISH TENU	o0900885
1282E	𒠮	128AF	𒢯	GIŠ₃~a	GIŠ₃~a	GISH3-A	GISH3-A	o0900889
1282F	𒠯	128B0	𒢰	|GIŠ₃~a&GIŠ₃~a|	|GIŠ₃~a&GIŠ₃~a|	GISH3-A OVER GISH3-A	GISH3-A OVER GISH3-A	o0900892
12830	𒠰	128B1	𒢱	GIŠ₃~b	GIŠ₃~b	GISH3-B	GISH3-B	o0900890
12831	𒠱	128B2	𒢲	GIŠGAL	GIŠGAL	GISHGAL	GISHGAL	o0900893
12832	𒠲	128B4	𒢴	GIŠIMMAR~a1	GIŠIMMAR~a1	GISHIMMAR-A1	GISHIMMAR-A1	o0900896
12833	𒠳	128B5	𒢵	GIŠIMMAR~a2	GIŠIMMAR~a2	GISHIMMAR-A2	GISHIMMAR-A2	o0900897
12834	𒠴	128B6	𒢶	GIŠIMMAR~a3	GIŠIMMAR~a3	GISHIMMAR-A3	GISHIMMAR-A3	o0900898
12835	𒠵	128B7	𒢷	GIŠIMMAR~b1	GIŠIMMAR~b1	GISHIMMAR-B1	GISHIMMAR-B1	o0900899
12836	𒠶	F3070	󳁰	GIŠIMMAR~b2		GISHIMMAR-B2		o0900902
12837	𒠷	128BA	𒢺	GIŠIMMAR~b3	GIŠIMMAR~b3	GISHIMMAR-B3	GISHIMMAR-B3	o0900903
12838	𒠸	128BC	𒢼	GU	GU	GU	GU	o0900906
12839	𒠹	128BD	𒢽	GU₂	GU₂	GU2	GU2	o0900907
1283A	𒠺	128BE	𒢾	GU₄	GU₄	GU4	GU4	o0900908
1283B	𒠻	128C0	𒣀	GU₄@g	GU₄@g	GU4 GUNU	GU4 GUNU	o0900914
1283C	𒠼	128C2	𒣂	GU₇	GU₇	GU7	GU7	o0900912
1283D	𒠽	128C4	𒣄	GUB₃~a	GUB₃~a	GUB3-A	GUB3-A	o0900916
1283E	𒠾	128C5	𒣅	GUB₃~b	GUB₃~b	GUB3-B	GUB3-B	o0900917
1283F	𒠿	128C6	𒣆	GUB₃~c	GUB₃~c	GUB3-C	GUB3-C	o0900918
12840	𒡀	128C7	𒣇	GUB₃~d	GUB₃~d	GUB3-D	GUB3-D	o0900919
12841	𒡁	128C8	𒣈	GUG₂	GUG₂	GUG2	GUG2	o0900920
12842	𒡂	128CB	𒣋	|GUG₂×SILA₃~a|	|GUG₂~v1×SILA₃~a|	GUG2 TIMES SILA3-A	GUG2 VARIANT 1 TIMES SILA3-A	o0900923
12843	𒡃	128CC	𒣌	|GUG₂×TUR|	|GUG₂~v1×TUR~v1|	GUG2 TIMES TUR	GUG2 VARIANT 1 TIMES TUR VARIANT 1	o0900926
12844	𒡄	128CD	𒣍	GUKKAL~a	GUKKAL~a	GUKKAL-A	GUKKAL-A	o0900929
12845	𒡅	128CF	𒣏	GUKKAL~b	GUKKAL~b	GUKKAL-B	GUKKAL-B	o0900930
12846	𒡆	128D0	𒣐	GUKKAL~c	GUKKAL~c	GUKKAL-C	GUKKAL-C	o0900931
12847	𒡇	128D1	𒣑	GUKKAL~d	GUKKAL~d	GUKKAL-D	GUKKAL-D	o0900932
12848	𒡈	128D2	𒣒	GUL	GUL	GUL	GUL	o0900935
12849	𒡉	128D3	𒣓	GUM~a	GUM~a	GUM-A	GUM-A	o0900937
1284A	𒡊	128D4	𒣔	GUM~b	GUM~b	GUM-B	GUM-B	o0900938
1284B	𒡋	128D5	𒣕	GUM~b@n	GUM~b@n	GUM-B NUTILLU	GUM-B NUTILLU	o0900941
1284C	𒡌	128D8	𒣘	GUN₃~a	GUN₃~a	GUN3-A	GUN3-A	o0900944
1284D	𒡍	128D9	𒣙	GUN₃~b	GUN₃~b	GUN3-B	GUN3-B	o0900945
1284E	𒡎	128DA	𒣚	GUR	GUR	GUR	GUR	o0900946
1284F	𒡏	128DB	𒣛	GURUŠ~a	GURUŠ~a	GURUSH-A	GURUSH-A	o0900948
12850	𒡐	128DC	𒣜	|GURUŠ~a×2(N14)|	|GURUŠ~a×2(N14)|	GURUSH-A TIMES TWO-N14	GURUSH-A TIMES TWO-N14	o0900952
12851	𒡑	128DE	𒣞	GURUŠ~b	GURUŠ~b	GURUSH-B	GURUSH-B	o0900950
12852	𒡒	128DF	𒣟	|GURUŠ~b×2(N14)|	|GURUŠ~b×2(N14)|	GURUSH-B TIMES TWO-N14	GURUSH-B TIMES TWO-N14	o0900953
12853	𒡓	128E0	𒣠	|GURUŠ~c×2(N14)|	|GURUŠ~c×2(N14)|	GURUSH-C TIMES TWO-N14	GURUSH-C TIMES TWO-N14	o0900954
12854	𒡔	128E1	𒣡	GURUŠDA	GURUŠDA	GURUSHDA	GURUSHDA	o0900955
12855	𒡕	128E2	𒣢	HAL	HAL	HAL	HAL	o0900956
12856	𒡖	128E3	𒣣	HALUB	HALUB	HALUB	HALUB	o0900957
12857	𒡗	128E4	𒣤	HAŠHUR	HAŠHUR	HASHHUR	HASHHUR	o0900958
12858	𒡘	128E5	𒣥	|HAŠHUR×MA|	|HAŠHUR×MA|	HASHHUR TIMES MA	HASHHUR TIMES MA	o0900959
12859	𒡙	128E6	𒣦	HI	HI	HI	HI	o0900960
1285A	𒡚	F300F	󳀏	|HI×HI|		HI TIMES HI		o0903383
1285B	𒡛	128EA	𒣪	|HI×LAGAB~a|	|HI×LAGAB~a|	HI TIMES LAGAB-A	HI TIMES LAGAB-A	o0900966
1285C	𒡜	128EC	𒣬	|HI×1(N57)|	|HI×1(N57)|	HI TIMES ONE-N57	HI TIMES ONE-N57	o0900968
1285D	𒡝	F3092	󳂒	|(HI×1(N57))&(HI×1(N57))|		HI TIMES ONE-N57 OVER HI TIMES ONE-N57		o0903408
1285E	𒡞	128EE	𒣮	|HI×1(N57@t)|	|HI×1(N57@t)|	HI TIMES ONE-N57 TENU	HI TIMES ONE-N57 TENU	o0900970
1285F	𒡟	128F0	𒣰	HI@g~a	HI@g~a	HI GUNU-A	HI GUNU-A	o0900976
12860	𒡠	128F1	𒣱	HI@g~b	HI@g~b	HI GUNU-B	HI GUNU-B	o0900977
12861	𒡡	128F2	𒣲	HI@g~c	HI@g~c	HI GUNU-C	HI GUNU-C	o0900978
12862	𒡢	128F3	𒣳	I	I	I	I	o0900981
12863	𒡣	128F4	𒣴	IB~a	IB~a	IB-A	IB-A	o0900983
12864	𒡤	128F5	𒣵	IB~a@n	IB~a@n	IB-A NUTILLU	IB-A NUTILLU	o0900987
12865	𒡥	128F6	𒣶	IB~b	IB~b	IB-B	IB-B	o0900984
12866	𒡦	F3072	󳁲	IB~c		IB-C		o0900985
12867	𒡧	128F7	𒣷	IDIGNA	IDIGNA	IDIGNA	IDIGNA	o0900988
12868	𒡨	128F9	𒣹	IG~a	IG~a	IG-A	IG-A	o0900991
12869	𒡩	128FA	𒣺	IG~b	IG~b	IG-B	IG-B	o0900992
1286A	𒡪	128FB	𒣻	IL	IL	IL	IL	o0900995
1286B	𒡫	128FC	𒣼	ILDUM~a	ILDUM~a	ILDUM-A	ILDUM-A	o0900997
1286C	𒡬	128FD	𒣽	ILDUM~b	ILDUM~b	ILDUM-B	ILDUM-B	o0900998
1286D	𒡭	128FE	𒣾	IM~a	IM~a	IM-A	IM-A	o0901000
1286E	𒡮	128FF	𒣿	IM~b	IM~b	IM-B	IM-B	o0901001
1286F	𒡯	12900	𒤀	IN~b	IN~b	IN-B	IN-B	o0901005
12870	𒡰	12902	𒤂	IN~d	IN~d	IN-D	IN-D	o0901007
12871	𒡱	12903	𒤃	IR~a	IR~a	IR-A	IR-A	o0901009
12872	𒡲	12905	𒤅	IR~b	IR~b	IR-B	IR-B	o0901010
12873	𒡳	12906	𒤆	IR~c	IR~c	IR-C	IR-C	o0901011
12874	𒡴	12907	𒤇	IR~d	IR~d	IR-D	IR-D	o0901012
12875	𒡵	12908	𒤈	IR₁₁	IR₁₁	IR11	IR11	o0901016
12876	𒡶	1290A	𒤊	IRHAN	IRHAN	IRHAN	IRHAN	o0901018
12877	𒡷	1290B	𒤋	IŠ~a	IŠ~a	ISH-A	ISH-A	o0901020
12878	𒡸	1290D	𒤍	IŠ~b	IŠ~b	ISH-B	ISH-B	o0901022
12879	𒡹	12913	𒤓	IŠ~c	IŠ~c	ISH-C	ISH-C	o0901028
1287A	𒡺	12914	𒤔	KA~a	KA~a	KA-A	KA-A	o0901030
1287B	𒡻	12915	𒤕	|KA~a×SAR~a|	|KA~a×SAR~a|	KA-A TIMES SAR-A	KA-A TIMES SAR-A	o0901036
1287C	𒡼	12918	𒤘	KA₂~a	KA₂~a	KA2-A	KA2-A	o0901038
1287D	𒡽	12919	𒤙	KA₂~b	KA₂~b	KA2-B	KA2-B	o0901039
1287E	𒡾	1291B	𒤛	|KA₂~d×LAM~b|	|KA₂~d×LAM~b~v2|	KA2-D TIMES LAM-B	KA2-D TIMES LAM-B VARIANT 2	o0901043
1287F	𒡿	1291C	𒤜	KAB	KAB	KAB	KAB	o0901044
12880	𒢀	1291E	𒤞	KAD₄~a	KAD₄~a	KAD4-A	KAD4-A	o0901047
12881	𒢁	1291F	𒤟	KAD₄~b	KAD₄~b	KAD4-B	KAD4-B	o0901048
12882	𒢂	12922	𒤢	KAK~a	KAK~a	KAK-A	KAK-A	o0901052
12883	𒢃	12924	𒤤	KAK~b	KAK~b	KAK-B	KAK-B	o0901053
